course_title,course_difficulty,course_category
Convolutional Neural Networks,Intermediate,General Technology
Convolutional Neural Networks in TensorFlow,Intermediate,General Technology
Corporate & Commercial Law I: Contracts & Employment Law,Intermediate,General Technology
Corporate Finance Essentials,Mixed,General Technology
Corporate Strategy,Beginner,General Technology
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Mixed,General Technology
"Corrección, estilo y  variaciones de la lengua española",Beginner,General Technology
Cost and Economics in Pricing Strategy,Beginner,General Technology
Costos para los Negocios,Intermediate,General Technology
Crash Course on Python,Beginner,Data Science
Creative Problem Solving,Mixed,General Technology
Creative Writing,Beginner,General Technology
Creative Writing: The Craft of Plot,Mixed,General Technology
"Creatividad, diseño e innovación: Técnicas y herramientas",Beginner,General Technology
Cuidado de heridas en el ámbito hospitalario,Intermediate,General Technology
Cuidados y procedimientos generales en la atención del recién nacido,Intermediate,General Technology
Culture-Driven Team Building,Beginner,General Technology
Curanderismo: Traditional Healing Using Plants,Beginner,General Technology
Customer Segmentation and Prospecting,Beginner,General Technology
Cybersecurity,Intermediate,General Technology
Cybersecurity and Its Ten Domains,Beginner,General Technology
Cybersecurity for Business,Beginner,General Technology
Cómo hablar bien en público,Beginner,General Technology
Dairy Production and Management,Mixed,General Technology
Data Analysis and Interpretation,Beginner,Data Science
Data Analysis and Presentation Skills: the PwC Approach,Beginner,Data Science
Data Analysis with Python,Beginner,Data Science
Data Analytics for Lean Six Sigma,Beginner,Data Science
Data Collection and Processing with Python,Intermediate,Data Science
Data Engineering on Google Cloud Platform 日本語版,Intermediate,Data Science
Data Engineering with Google Cloud,Intermediate,Data Science
"Data Engineering, Big Data, and Machine Learning on GCP",Intermediate,Data Science
Data Management for Clinical Research,Beginner,Data Science
Data Mining,Intermediate,Data Science
Data Science,Beginner,Data Science
Data Science Math Skills,Beginner,Data Science
Data Science Methodology,Beginner,Data Science
Data Science: Foundations using R,Beginner,Data Science
Data Science: Statistics and Machine Learning,Intermediate,Data Science
Data Visualization and Communication with Tableau,Mixed,Data Science
Data Visualization with Advanced Excel,Beginner,Data Science
Data Visualization with Python,Intermediate,Data Science
Data Visualization with Tableau,Beginner,Data Science
Data Warehousing for Business Intelligence,Advanced,Data Science
Data and Health Indicators in Public Health Practice,Beginner,Data Science
Data-driven Decision Making,Beginner,Data Science
Databases and SQL for Data Science,Beginner,Data Science
De-Mystifying Mindfulness,Beginner,General Technology
Decision-Making and Scenarios,Mixed,General Technology
Deep Learning,Intermediate,General Technology
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Beginner,General Technology
Dentistry 101,Beginner,General Technology
Dermatology: Trip to skin,Beginner,General Technology
Design Thinking for Innovation,Beginner,General Technology
Design Thinking for the Greater Good: Innovation in the Social Sector,Beginner,General Technology
Design and Interpretation of Clinical Trials,Mixed,General Technology
Design and Make Infographics (Project-Centered Course),Mixed,General Technology
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,Intermediate,General Technology
Developing APIs with Google Cloud's Apigee API Platform,Intermediate,General Technology
Developing Applications with Google Cloud Platform,Intermediate,General Technology
Developing Applications with Google Cloud Platform 日本語版,Intermediate,General Technology
Developing Industrial Internet of Things,Intermediate,General Technology
Developing Your Musicianship,Mixed,General Technology
Developing Your Musicianship,Beginner,General Technology
Devenir entrepreneur du changement,Mixed,General Technology
Digital Advertising Strategy,Beginner,General Technology
Digital Business Models,Beginner,General Technology
Digital Manufacturing & Design Technology,Beginner,General Technology
Digital Marketing,Beginner,General Technology
Digital Media and Marketing Strategies,Mixed,General Technology
Digital Product Management,Beginner,General Technology
Digital Product Management: Modern Fundamentals,Beginner,General Technology
Dino 101: Dinosaur Paleobiology,Beginner,General Technology
Discrete Optimization,Intermediate,General Technology
Diseño Instruccional: Aprendizaje activo y Pedagogía digital,Beginner,General Technology
Diseño y Creación de un Emprendimiento Social,Beginner,General Technology
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Intermediate,General Technology
Dog Emotion and Cognition,Mixed,General Technology
Driving business towards the Sustainable Development Goals,Beginner,General Technology
Drug Commercialization,Beginner,General Technology
Drug Discovery,Beginner,General Technology
Dynamic Public Speaking,Beginner,General Technology
EMT Foundations,Beginner,General Technology
Ecology: Ecosystem Dynamics and Conservation,Intermediate,General Technology
Econometrics: Methods and Applications,Mixed,General Technology
Economics of Money and Banking,Mixed,General Technology
Ecosystem Services: a Method for Sustainable Development,Intermediate,General Technology
Effective Compliance Programs,Mixed,General Technology
Egiptología (Egyptology),Beginner,General Technology
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Beginner,General Technology
Elastic Google Cloud Infrastructure: Scaling and Automation,Intermediate,General Technology
Electric Industry Operations and Markets,Beginner,General Technology
Electronic Music Production,Intermediate,General Technology
Emerging Technologies: From Smartphones to IoT to Big Data,Beginner,Data Science
"Energy Production, Distribution & Safety",Beginner,General Technology
Engineering Health: Introduction to Yoga and Physiology,Beginner,General Technology
Engineering Project Management: Initiating and Planning,Beginner,General Technology
English Composition I,Beginner,General Technology
English for Business and Entrepreneurship,Beginner,General Technology
English for Career Development,Mixed,General Technology
English for Journalism,Mixed,General Technology
English for Research Publication Purposes,Intermediate,General Technology
"English for Science, Technology, Engineering, and Mathematics",Beginner,General Technology
Enterprise Architecture,Beginner,General Technology
Entrepreneurial Finance: Strategy and Innovation,Intermediate,General Technology
Entrepreneurship,Beginner,General Technology
Entrepreneurship 1: Developing the Opportunity,Mixed,General Technology
Entrepreneurship 2: Launching your Start-Up,Mixed,General Technology
Entrepreneurship 3: Growth Strategies,Beginner,General Technology
Entrepreneurship Strategy: From Ideation to Exit,Beginner,General Technology
Entrepreneurship: Launching an Innovative Business,Beginner,General Technology
Epidemics - the Dynamics of Infectious Diseases,Mixed,General Technology
"Epidemics, Pandemics and Outbreaks",Mixed,General Technology
Epidemiology for Public Health,Beginner,General Technology
Epidemiology in Public Health Practice,Beginner,General Technology
Epidemiology: The Basic Science of Public Health,Mixed,General Technology
Epigenetic Control of Gene Expression,Mixed,General Technology
Equine Welfare and Management,Beginner,General Technology
Esports,Beginner,General Technology
Essential Epidemiologic Tools for Public Health Practice,Beginner,General Technology
